Date,Close,High,Low,Open,Volume
2020/07/29,1953.5,1953.5,1952.599976,1953.199951,209835
2020/07/30,1942.300049,1965.099976,1930,1963.400024,28853
2020/07/31,1962.800049,1981.099976,1948,1948.599976,2914
2020/08/03,1966,1984.300049,1955.5,1984.300049,683
2020/08/04,2001.199951,2016.199951,1968.800049,1971,2010
2020/08/05,2031.099976,2050.199951,2011,2024,1422
2020/08/06,2051.5,2063,2040,2045.5,294
2020/08/07,2010.099976,2055,2009.599976,2040.099976,808
2020/08/10,2024.400024,2043.800049,2017.5,2026.400024,233
2020/08/11,1932.599976,2016,1904,2012.400024,971
2020/08/12,1934.900024,1946.599976,1871.599976,1923,404
2020/08/13,1956.699951,1957.400024,1916.900024,1921.5,71
2020/08/14,1937,1947.400024,1937,1938.699951,201
2020/08/17,1985,1985,1949.599976,1949.599976,97
2020/08/18,1999.400024,2002.800049,1972.099976,2001.099976,92
2020/08/19,1958.699951,1980,1938.699951,1980,347
2020/08/20,1933.800049,1948.300049,1922.300049,1941.199951,106
2020/08/21,1934.599976,1945,1908.900024,1941,184
2020/08/24,1927.699951,1940,1922.199951,1930.199951,85
2020/08/25,1911.800049,1928.5,1911.800049,1927.5,176
2020/08/26,1940.699951,1950.800049,1909.699951,1909.699951,287
2020/08/27,1921.599976,1972.5,1921.599976,1948.900024,2303
2020/08/28,1964.599976,1971.300049,1922.5,1927.099976,778
2020/08/31,1967.599976,1971.300049,1953.300049,1970,158
2020/09/01,1968.199951,1986.300049,1961.699951,1961.699951,186
2020/09/02,1934.400024,1967.300049,1934.400024,1967.300049,71
2020/09/03,1927.599976,1938.800049,1923,1937.099976,179
2020/09/04,1923.900024,1939.699951,1917.699951,1927.900024,607
2020/09/08,1933,1937.900024,1903.099976,1930.900024,271
2020/09/09,1944.699951,1946.199951,1924.599976,1926.900024,219
2020/09/10,1954.199951,1962.699951,1944.099976,1944.099976,722
2020/09/11,1937.800049,1949.5,1937.800049,1944,73
2020/09/14,1953.099976,1953.099976,1943,1946.300049,55
2020/09/15,1956.300049,1968.5,1955.800049,1955.800049,74
2020/09/16,1960.199951,1961.400024,1956.699951,1961.300049,124
2020/09/17,1940,1946,1933.699951,1939,67
2020/09/18,1952.099976,1952.099976,1949,1950.5,38
2020/09/21,1901.199951,1946.199951,1883.400024,1946.199951,52
2020/09/22,1898.599976,1913.099976,1898.599976,1913.099976,331
2020/09/23,1859.900024,1875.5,1859.900024,1875.5,5
2020/09/24,1868.300049,1868.300049,1851.5,1851.5,365
2020/09/25,1857.699951,1857.699951,1856.300049,1856.300049,4
2020/09/28,1872.800049,1872.800049,1872.800049,1872.800049,10455
2020/09/29,1894.300049,1895.400024,1872.400024,1876.5,3283
2020/09/30,1887.5,1899.699951,1879.800049,1893,600
2020/10/01,1908.400024,1909.599976,1882.5,1884.099976,730
2020/10/02,1900.199951,1913,1893.900024,1893.900024,530
2020/10/05,1912.5,1915.599976,1884.699951,1898.900024,1360
2020/10/06,1901.099976,1918,1874.400024,1906.599976,968
2020/10/07,1883.599976,1889.800049,1873.099976,1874.099976,50
2020/10/08,1888.599976,1893,1882.699951,1893,348
2020/10/09,1919.5,1929.099976,1905.099976,1909.300049,580
2020/10/12,1922.5,1926.5,1921.599976,1924,96
2020/10/13,1888.5,1922.199951,1887,1921.900024,191
2020/10/14,1901.300049,1910.800049,1882.5,1889.699951,33
2020/10/15,1903.199951,1906.300049,1889.599976,1897.300049,254
2020/10/16,1900.800049,1900.800049,1898.5,1898.5,53
2020/10/19,1906.400024,1907.800049,1899.5,1907.300049,43
2020/10/20,1910.400024,1910.400024,1896.099976,1901.300049,329
2020/10/21,1924.599976,1927.300049,1913.599976,1913.599976,1202
2020/10/22,1901.099976,1924.300049,1898.199951,1924.300049,899
2020/10/23,1902,1913.300049,1896.199951,1899.900024,287
2020/10/26,1902.699951,1907,1893.5,1895.5,242
2020/10/27,1908.800049,1908.800049,1904.400024,1904.599976,176
2020/10/28,1876.199951,1876.199951,1870.900024,1870.900024,277
2020/10/29,1865.599976,1879.800049,1858.800049,1876.099976,240
2020/10/30,1877.400024,1886.599976,1862.800049,1862.800049,725
2020/11/02,1890.400024,1894.699951,1872.900024,1872.900024,190
2020/11/03,1908.5,1908.5,1891.5,1891.5,712
2020/11/04,1894.599976,1907,1885.300049,1893.800049,782
2020/11/05,1945.300049,1948,1901.699951,1901.699951,135
2020/11/06,1950.300049,1958.800049,1940.800049,1940.800049,304
2020/11/09,1853.199951,1963.199951,1847.099976,1955.599976,745
2020/11/10,1875.400024,1885.300049,1871.199951,1879.300049,276
2020/11/11,1860.699951,1878.800049,1855.5,1878.800049,222
2020/11/12,1872.599976,1878.5,1866.599976,1869,220
2020/11/13,1885.699951,1890.099976,1876.800049,1877,240
2020/11/16,1887.300049,1887.300049,1871,1874.599976,6
2020/11/17,1884.5,1888.400024,1884.5,1888.400024,59
2020/11/18,1873.5,1873.5,1873.5,1873.5,152
2020/11/19,1861.099976,1865.800049,1856,1865.800049,59
2020/11/20,1872.599976,1872.599976,1871.199951,1871.199951,1900
2020/11/23,1837.800049,1837.800049,1829.199951,1834.800049,843
2020/11/24,1804.800049,1829.300049,1799.300049,1829.300049,1041
2020/11/25,1805.699951,1805.699951,1801.400024,1801.400024,205754
2020/11/27,1781.900024,1817,1770.699951,1806.099976,71804
2020/11/30,1775.699951,1787.199951,1762.300049,1785,3145
2020/12/01,1814.099976,1815.900024,1774.900024,1775,1859
2020/12/02,1825.699951,1830,1807.800049,1811.300049,771
2020/12/03,1836.800049,1842,1825.300049,1829.199951,1765
2020/12/04,1835.900024,1847.599976,1828.199951,1840.699951,1213
2020/12/07,1861.800049,1866.900024,1820.800049,1836.5,1427
